from,to,h,prior,n_subnodes,type,name,count
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,0,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,1,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,2,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,3,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,4,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,5,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,6,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,7,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,8,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,9,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,10,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,11,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,12,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,13,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,INT,14,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,SEQ,1,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,SEQ,0,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,SEQ,repeat,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,SEQ,append,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,SEQ,swap,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,SEQ,delete,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,SEQ,invert,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,SEQ,cut,0
aabaabaabaabaab,aabaabaabaabaab,from_seq,-0.587787,1,SEQ,from_seq,1
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,0,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,1,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,2,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,3,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,4,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,5,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,6,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,7,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,8,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,9,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,10,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,11,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,12,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,13,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,INT,14,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,SEQ,1,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,SEQ,0,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,SEQ,repeat,1
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,SEQ,append,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,SEQ,swap,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,SEQ,delete,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,SEQ,invert,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,SEQ,cut,0
aabaabaabaabaab,aabaabaabaabaab,repeat(from_seq),-3.478158,2,SEQ,from_seq,1
